FNL_DESCR,DESCR,Block Offer,# Promos,Inc Sales,Inc GM ex SDM,FL_SALES,FL_MARGIN,Base Sales,RBT_SDM_CM,RBT_VEND,RBT_SDM_MPP,CSD,GM%,Sales Lift
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),2/$4.00 OR $2.79,1,2737,-451,7204,871,4467,0,1089,0,-0.16,0.12,0.61
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),2/$5.00 OR $2.99,2,3479,272,7404,1433,3924,0,255,0,0.08,0.19,0.89
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),3/$5.00 OR $2.99,1,6220,-1215,10254,24,4034,0,1760,0,-0.2,0,1.54
CHOCOLATE BARS FAMILY,KIT KAT CLASSIC MILK (GRP K959),3.99,19,10169,-199,20831,3174,10661,0,952,0,-0.02,0.15,0.95
CHOCOLATE BARS FAMILY,KIT KAT CLASSIC MILK (GRP K959),4.29,3,4048,-656,12892,2066,8844,0,410,0,-0.16,0.16,0.46
CHOCOLATE BARS FAMILY,KIT KAT CLASSIC MILK (GRP K959),4.49,1,397,-857,10723,2196,10326,0,537,0,-2.16,0.2,0.04
CHOCOLATE BARS FAMILY,KIT KAT CLASSIC MILK (GRP K959),4.99,2,4186,731,13693,3605,9507,0,682,0,0.17,0.26,0.44
CHOCOLATE BARS FAMILY,NESTLE FAMILY BARS (GRP RO02),1.99,2,9024,-1411,16859,1057,7836,0,1658,0,-0.16,0.06,1.15
CHOCOLATE BARS FAMILY,NESTLE FAMILY BARS (GRP RO02),2.49,1,6348,806,12906,2714,6557,0,1046,0,0.13,0.21,0.97
CHOCOLATE BARS FAMILY,NESTLE FAMILY BARS (GRP RO02),2.99,1,7543,3270,14100,5177,6557,0,973,0,0.43,0.37,1.15
